"set_id","set_title","trait_key","trait_name","trait_type","breakpoints","description","tier_effects","categories","guide_signal","source_url"
"set3","Galaxies","MechPilot","Mech-Pilot","ORIGIN","3","The Super-Mech has the combined Pilots Health, Attack Damage, and Traits of its Pilots, as well as 3 random items from among them. When the Super-Mech dies the Pilots are ejected, continue to fight.","3: At the start of combat, three Mech-Pilot champs are merged into a Super Mech.","summon, defense, offense, choice","Board-changing summon","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Mercenary","Mercenary","CLASS","1","","1: Innate: Upgrades for Mercenaries's spells have a chance to appear in the shop.","economy","Non-combat or mixed economy","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Mystic","Mystic","CLASS","2/4","All allies gain Magic Resistance.","2: 35 Magic Resistance | 4: 105 Magic Resistance","defense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Protector","Protector","CLASS","2/4/6","Protectors shield themselves for 4 seconds whenever they cast a spell. This shield doesn't stack.","2: 25% Maximum Health Shield | 4: 30% Maximum Health Shield | 6: 40% Maximum Health Shield","defense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Rebel","Rebel","ORIGIN","3/6/9","At the start of combat, Rebels gain a shield and increased damage for each adjacent Rebel. The shield lasts for 8 seconds.","3: 150 Shield & 10% Damage | 6: 210 Shield & 12% Damage | 9: 330 Shield & 15% Damage","position, defense","Visible formation rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Sniper","Sniper","CLASS","2","","2: Snipers deal 15% increased damage for each hex between themselves and their target.","position","Visible formation rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Sorcerer","Sorcerer","CLASS","2/4/6/8","All allies have increased Spell Power.","2: 20% Spell Power | 4: 40% Spell Power | 6: 75% Spell Power | 8: 120% Spell Power","special","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","SpacePirate","Space Pirate","ORIGIN","2/4","Whenever a Space Pirate lands a killing blow on a Champion there is a chance to drop extra loot.","2: 50% for 1 gold | 4: 50% for 1 gold and 25% for a component item","economy, transformation","Non-combat or mixed economy","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","StarGuardian","Star Guardian","ORIGIN","3/6","Star Guardians' spellcasts grant Mana to other Star Guardians spread among them.","3: 30 Total Mana | 6: 50 Total Mana","offense","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Starship","Starship","CLASS","1","","1: Innate: Starships gain 40 Mana per second, maneuver around the board, and are immune to movement impairing effects, but can't Basic Attack.","offense","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Valkyrie","Valkyrie","ORIGIN","2","","2: Valkyrie attacks and spells always critically hit targets below 40% health.","transformation, defense, offense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Vanguard","Vanguard","CLASS","2/4","Vanguard champions gain bonus Armor.","2: 125 Armor | 4: 250 Armor","defense","Primarily statistical","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3","Galaxies","Void","Void","ORIGIN","3","","3: Attacks and spells from Void champions deal true damage.","special","Special combat rule","https://lolchess.gg/synergies/set3/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Astro","Astro","ORIGIN","3","","3: Astro Champions reduce their mana costs by 30","offense","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Battlecast","Battlecast","ORIGIN","2/4/6/8","Battlecast champions, upon dealing or taking 10 instances of damage, heal if below half health, or deal magic damage to the nearest enemy if above half.","2: 80 Healing or Damage | 4: 180 Healing or Damage | 6: 480 Healing or Damage | 8: 1000 Healing or Damage","transformation, defense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Blademaster","Blademaster","CLASS","3/6/9","Blademasters' Basic Attacks have a chance to trigger two additional attacks against their target. These additional attacks deal damage like Basic Attacks and trigger on-hit effects.","3: 30% Chance to trigger | 6: 65% Chance to trigger | 9: 100% Chance to trigger","special","High-variance combat","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Blaster","Blaster","CLASS","2/4","Every fourth Basic Attack from a Blaster fires additional attacks at random enemies. These additional attacks deal damage like Basic Attacks, trigger on-hit effects and can critically hit.","2: 3 Additional Attacks | 4: 6 Additional Attacks","offense, choice","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Brawler","Brawler","CLASS","2/4","Brawlers gain bonus Maximum Health.","2: 350 Bonus Health | 4: 600 Bonus Health","defense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Celestial","Celestial","ORIGIN","2/4/6","All allies heal for some of the damage they deal with spells and attacks.","2: 15% Healing | 4: 45% Healing | 6: 150% Healing","special","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Chrono","Chrono","ORIGIN","2/4/6/8","All allies gain 15% Attack Speed every some seconds.","2: every 8 seconds | 4: every 3 seconds | 6: every 1 seconds | 8: every 0.5 seconds","offense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Cybernetic","Cybernetic","ORIGIN","3/6","Cybernetic champions with at least one item gain Health and Attack Damage.","3: 300 Health and 35 Attack Damage | 6: 550 Health and 70 Attack Damage","defense, offense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","DarkStar","Dark Star","ORIGIN","2/4/6/8","When any ally champion dies, all other allied Dark Star Champions gain Attack Damage and Spell Power","2: Attack Damage and Spell Power +8 | 4: Attack Damage and Spell Power +18 | 6: Attack Damage and Spell Power +28 | 8: Attack Damage and Spell Power +48","offense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Demolitionist","Demolitionist","CLASS","2","","2: Damage from Demolitionists' spellcasts stun their for 1.50 seconds. (Once per spellcast)","special","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Infiltrator","Infiltrator","CLASS","2/4/6","Innate: At the start of combat, Infiltrators move to the enemy's backline. Infiltrators gain Attack Speed for 6 seconds at the start of combat, refreshes on takedown","2: 40% Bonus Attack Speed | 4: 80% Bonus Attack Speed | 6: 150% Bonus Attack Speed","position, transformation, offense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","ManaReaver","Mana-Reaver","CLASS","2","","2: Mana-Reaver attacks increase the mana cost of their target’s next spell by 30%","offense","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","MechPilot","Mech-Pilot","ORIGIN","3","The Super-Mech has the traits of its pilots, 3random items from among them and gains 65% of the combined pilot's health and attack damage When the Super-Mech dies the Piots are ejected with 35% of thier maximun health and continue of fight","3: At the start of combat, three random mech-pilots are teleported into a super-mech","summon, defense, offense, choice","Board-changing summon","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Mercenary","Mercenary","CLASS","1","","1: Innate: Upgrades for Mercenaries's spells have a chance to appear in the shop.","economy","Non-combat or mixed economy","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Mystic","Mystic","CLASS","2/4","All allies gain Magic Resistance.","2: 50 Magic Resistance | 4: 120 Magic Resistance","defense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Paragon","Paragon","CLASS","1","","1: Ally Star Guardian basic attacks are converted to true damage. All other ally basic attacks are converted to magic damage.","special","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Protector","Protector","CLASS","2/4/6","Protectors shield themselves for 4 seconds whenever they cast a spell. This shield doesn't stack.","2: 30% Maximum Health Shield | 4: 40% Maximum Health Shield | 6: 50% Maximum Health Shield","defense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Rebel","Rebel","ORIGIN","3/6/9","At the start of combat, Rebels gain a shield and increased damage for each adjacent Rebel. The shield lasts for 8 seconds.","3: 150 Shield & 10% Damage | 6: 225 Shield & 12% Damage | 9: 400 Shield & 20% Damage","position, defense","Visible formation rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Sniper","Sniper","CLASS","2/4","Snipers deal increased damage for each hex between themselves and their target.","2: 9% increased damage for each hex | 4: 16% increased damage for each hex","position","Visible formation rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Sorcerer","Sorcerer","CLASS","2/4/6","All allies have increased Spell Power.","2: 20% Spell Power | 4: 40% Spell Power | 6: 70% Spell Power","special","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","SpacePirate","Space Pirate","ORIGIN","2/4","Whenever a Space Pirate lands a killing blow on a Champion there is a chance to drop extra loot.","2: 50% for 1 gold | 4: 50% for 1 gold and 33% for a component item","economy, transformation","Non-combat or mixed economy","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","StarGuardian","Star Guardian","ORIGIN","3/6/9","Star Guardians' spellcasts grant Mana to other Star Guardians spread among them.","3: 15 Total Mana | 6: 25 Total Mana | 9: 60 Total Mana","offense","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Starship","Starship","CLASS","1","","1: Innate: Starships gain 40 Mana per second, maneuver around the board, and are immune to movement impairing effects, but can't Basic Attack.","offense","Special combat rule","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set3.5","Galaxies: Return to the Stars","Vanguard","Vanguard","CLASS","2/4/6","Vanguard champions gain bonus Armor.","2: 125 Armor | 4: 300 Armor | 6: 900 Armor","defense","Primarily statistical","https://lolchess.gg/synergies/set3.5/guide?hl=en"
"set4","Fates","Adept","Adept","CLASS","2/3/4","Adepts calm the flow of battle, reducing the Attack Speed of all enemies by 50% for a few seconds at the start of combat.","2: 2 Seconds | 3: 3.5 Seconds | 4: 6 Seconds","offense","Primarily statistical","https://lolchess.gg/synergies/set4/guide?hl=en"
"set4","Fates","Assassin","Assassin","CLASS","2/4/6","Innate: At the start of combat, Assassins leap to the enemy backline. Assassins gain bonus Critical Strike Damage and Chance, and their spells can critically strike.","2: +30% Critical Strike Damage & +10% Critical Strike Chance | 4: +60% Critical Strike Damage & +25% Critical Strike Chance | 6: +90% Critical Strike Damage & +40% Critical Strike Chance","position, offense","Special combat rule","https://lolchess.gg/synergies/set4/guide?hl=en"
"set4","Fates","Brawler","Brawler","CLASS","2/4/6/8","Brawlers gain bonus Health.","2: 400 Health | 4: 800 Health | 6: 1200 Health | 8: 1800 Health","defense","Primarily statistical","https://lolchess.gg/synergies/set4/guide?hl=en"
"set4","Fates","Cultist","Cultist","ORIGIN","3/6/9","Once your team loses 50% of their Health, Galio is summoned, slamming into the largest cluster of enemies and knocking them up. Galio's strength increases based on the total star level of all active Cultists.","3: Tyrant Galio | 6: Demon Lord Galio | 9: Supreme Overlord Galio","summon, transformation, defense","Board-changing summon","https://lolchess.gg/synergies/set4/guide?hl=en"
"set4","Fates","Dazzler","Dazzler","CLASS","2/4","Dazzlers' spells reduce the Attack Damage of enemies hit for 8 seconds.","2: 40% Attack Damage Reduction | 4: 80% Attack Damage Reduction","defense, offense","Primarily statistical","https://lolchess.gg/synergies/set4/guide?hl=en"
